2020-11-14 15:03:08,090: '©'
2020-11-14 15:03:08,490: Key.ctrl
2020-11-14 15:03:08,610: '\x03'
2020-11-14 17:51:30,719: Key.ctrl
2020-11-14 17:51:33,255: '\x03'
2020-11-14 17:51:36,575: Key.alt
2020-11-14 17:51:37,428: Key.alt
2020-11-14 17:51:37,709: 'ç'
2020-11-14 17:51:38,596: '©'
2020-11-14 17:51:42,788: Key.ctrl
2020-11-14 17:51:42,892: '\x03'
2020-11-14 19:32:00,750: '\x03'
2020-11-14 19:32:08,249: Key.ctrl
2020-11-14 19:32:08,546: '\x07'
2020-11-14 19:32:17,689: Key.ctrl
2020-11-14 19:32:18,425: '\x07'
2020-11-14 19:32:24,698: Key.ctrl
2020-11-14 19:32:25,354: '\x03'
2020-11-14 19:32:26,514: Key.ctrl
2020-11-14 19:32:27,778: '\x03'
2020-11-14 19:32:28,556: Key.ctrl
2020-11-14 19:32:28,940: '\x07'
2020-11-14 19:32:39,467: Key.ctrl
2020-11-14 19:32:40,810: '\x07'
2020-11-14 19:32:42,139: Key.ctrl
2020-11-14 19:32:42,306: '\x07'
2020-11-14 19:32:43,154: 'i'
2020-11-14 19:32:44,026: Key.ctrl
2020-11-14 19:32:44,236: '\x07'
2020-11-14 19:32:44,635: 's'
2020-11-14 19:32:44,666: 'a'
2020-11-14 19:32:44,690: 'd'
2020-11-14 19:32:44,722: 'f'
2020-11-14 19:32:44,780: 'j'
2020-11-14 19:32:44,821: 'k'
2020-11-14 19:32:44,882: 'l'
2020-11-14 19:32:45,282: 'i'
2020-11-14 19:32:45,467: 'i'
2020-11-14 19:32:45,714: 'a'
2020-11-14 19:32:45,730: 's'
2020-11-14 19:32:45,755: 'd'
2020-11-14 19:32:45,762: 'f'
2020-11-14 19:32:45,771: 'l'
2020-11-14 19:32:45,778: 'k'
2020-11-14 19:32:45,835: 'j'
2020-11-14 19:32:45,940: 'k'
2020-11-14 19:32:45,946: 'l'
2020-11-14 19:32:45,978: 'a'
2020-11-14 19:32:46,010: 's'
2020-11-14 19:32:46,034: 'd'
2020-11-14 19:32:46,038: 'j'
2020-11-14 19:32:46,114: 'f'
2020-11-14 19:32:46,116: ';'
2020-11-14 19:32:46,219: 'j'
2020-11-14 19:32:50,875: 'a'
2020-11-14 19:32:50,898: 's'
2020-11-14 19:32:50,930: 'd'
2020-11-14 19:32:50,946: 'f'
2020-11-14 19:32:50,994: 'j'
2020-11-14 19:32:51,059: 'k'
2020-11-14 19:32:51,114: 'l'
2020-11-14 19:32:51,388: 'i'
2020-11-14 19:32:52,034: Key.backspace
2020-11-14 19:32:52,285: Key.backspace
2020-11-14 19:32:52,319: Key.backspace
2020-11-14 19:32:52,354: Key.backspace
2020-11-14 19:32:52,387: Key.backspace
2020-11-14 19:32:52,420: Key.backspace
2020-11-14 19:32:52,454: Key.backspace
2020-11-14 19:32:52,487: Key.backspace
2020-11-14 19:32:52,522: Key.backspace
2020-11-14 19:32:52,560: Key.backspace
2020-11-14 19:32:52,590: Key.backspace
2020-11-14 19:32:52,624: Key.backspace
2020-11-14 19:32:52,658: Key.backspace
2020-11-14 19:32:52,689: Key.backspace
2020-11-14 19:32:52,726: Key.backspace
2020-11-14 19:32:52,756: Key.backspace
2020-11-14 19:32:52,792: Key.backspace
2020-11-14 19:32:52,826: Key.backspace
2020-11-14 19:32:52,860: Key.backspace
2020-11-14 19:32:52,900: Key.backspace
2020-11-14 19:32:52,922: Key.backspace
2020-11-14 19:32:52,959: Key.backspace
2020-11-14 19:32:52,989: Key.backspace
2020-11-14 19:32:53,016: 'p'
2020-11-14 19:32:53,261: 'p'
2020-11-14 19:32:53,295: 'p'
2020-11-14 19:32:53,330: 'p'
2020-11-14 19:32:53,368: 'p'
2020-11-14 19:32:53,586: Key.backspace
2020-11-14 19:32:53,837: Key.backspace
2020-11-14 19:32:53,871: Key.backspace
2020-11-14 19:32:53,907: Key.backspace
2020-11-14 19:32:53,941: Key.backspace
2020-11-14 19:32:53,975: Key.backspace
2020-11-14 19:32:54,008: Key.backspace
2020-11-14 19:32:54,040: Key.backspace
2020-11-14 19:32:54,077: Key.backspace
2020-11-14 19:32:54,107: Key.backspace
2020-11-14 19:32:54,142: Key.backspace
2020-11-14 19:32:54,175: Key.backspace
2020-11-14 19:32:54,208: Key.backspace
2020-11-14 19:32:54,240: Key.backspace
2020-11-14 19:32:54,273: Key.backspace
2020-11-14 19:32:54,309: Key.backspace
2020-11-14 19:32:54,343: Key.backspace
2020-11-14 19:32:54,373: Key.backspace
2020-11-14 19:32:54,410: Key.backspace
2020-11-14 19:32:54,442: Key.backspace
2020-11-14 19:32:54,475: Key.backspace
2020-11-14 19:32:54,509: Key.backspace
2020-11-14 19:32:54,541: Key.backspace
2020-11-14 19:32:54,576: Key.backspace
2020-11-14 19:32:54,611: Key.backspace
2020-11-14 19:32:54,644: Key.backspace
2020-11-14 19:32:54,795: Key.ctrl
2020-11-14 19:32:55,450: '\x07'
2020-11-14 19:32:56,882: Key.backspace
2020-11-14 19:32:57,134: Key.backspace
2020-11-14 19:32:57,166: Key.backspace
2020-11-14 19:32:57,200: Key.backspace
2020-11-14 19:32:57,233: Key.backspace
2020-11-14 19:32:57,267: Key.backspace
2020-11-14 19:32:57,300: Key.backspace
2020-11-14 19:32:57,333: Key.backspace
2020-11-14 19:32:57,366: Key.backspace
2020-11-14 19:32:57,401: Key.backspace
2020-11-14 19:32:57,434: Key.backspace
2020-11-14 19:32:57,467: Key.backspace
2020-11-14 19:32:57,501: Key.backspace
2020-11-14 19:33:02,099: Key.enter
2020-11-14 19:33:02,595: Key.ctrl
2020-11-14 19:33:03,099: '\x07'
2020-11-14 19:33:04,291: Key.ctrl
2020-11-14 19:33:04,515: '\x03'
2020-11-14 19:33:06,099: Key.backspace
2020-11-14 19:33:06,350: Key.backspace
2020-11-14 19:33:06,384: Key.backspace
2020-11-14 19:33:06,418: Key.backspace
2020-11-14 19:33:06,452: Key.backspace
2020-11-14 19:33:06,486: Key.backspace
2020-11-14 19:33:06,522: Key.backspace
2020-11-14 19:33:06,557: Key.backspace
2020-11-14 19:33:06,588: Key.backspace
2020-11-14 19:33:06,622: Key.backspace
2020-11-14 19:33:06,655: Key.backspace
2020-11-14 19:33:06,688: Key.backspace
2020-11-14 19:33:06,722: Key.backspace
2020-11-14 19:33:06,755: Key.backspace
2020-11-14 19:33:06,789: Key.backspace
2020-11-14 19:33:06,822: Key.backspace
2020-11-14 19:33:06,856: Key.backspace
2020-11-14 19:33:06,889: Key.backspace
2020-11-14 19:33:06,923: Key.backspace
2020-11-14 19:33:06,956: Key.backspace
2020-11-14 19:33:06,989: Key.backspace
2020-11-14 19:33:07,023: Key.backspace
2020-11-14 19:33:07,055: Key.backspace
2020-11-14 19:33:07,091: Key.ctrl
2020-11-14 19:33:07,475: '\x07'
2020-11-14 19:33:08,419: Key.ctrl
2020-11-14 19:33:08,531: '\x07'
2020-11-14 19:33:09,203: Key.ctrl
2020-11-14 19:33:09,499: '\x07'
2020-11-14 19:33:09,925: 'g'
2020-11-14 19:33:10,099: 'g'
2020-11-14 19:33:10,475: 'g'
2020-11-14 19:33:10,715: 'g'
2020-11-14 19:33:11,211: Key.backspace
2020-11-14 19:33:11,395: Key.backspace
2020-11-14 19:33:11,707: Key.backspace
2020-11-14 19:33:11,899: Key.backspace
2020-11-14 19:33:12,877: 'g'
2020-11-14 19:33:12,979: 'l'
2020-11-14 19:33:13,323: Key.enter
2020-11-14 19:33:14,955: Key.enter
2020-11-14 19:33:16,507: Key.ctrl
2020-11-14 19:33:16,755: '\x07'
2020-11-14 19:33:22,211: Key.ctrl
2020-11-14 19:33:22,572: '\x07'
2020-11-14 19:33:23,380: Key.ctrl
2020-11-14 19:33:23,452: '\x07'
2020-11-14 19:33:24,084: '\x03'
2020-11-14 19:33:25,067: Key.ctrl
2020-11-14 19:33:25,547: '\x07'
2020-11-14 19:33:26,860: Key.alt
2020-11-14 19:33:27,819: 'g'
2020-11-14 19:33:28,211: Key.backspace
2020-11-14 19:33:28,387: Key.backspace
2020-11-14 19:33:28,563: Key.backspace
2020-11-14 19:33:28,723: Key.alt
2020-11-14 19:33:29,140: '©'
2020-11-14 19:33:36,469: Key.backspace
2020-11-14 19:33:36,469: Key.alt
2020-11-14 19:33:36,470: '©'
2020-11-14 19:33:45,524: Key.alt
2020-11-14 19:33:45,844: '©'
2020-11-14 19:34:06,292: '©'
2020-11-14 19:34:14,365: Key.ctrl
2020-11-14 19:34:14,717: '\x07'
2020-11-14 19:34:27,797: Key.ctrl
2020-11-14 19:34:28,621: '\x03'
2020-11-14 19:35:49,628: Key.ctrl
2020-11-14 19:35:49,700: '\x03'
